,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Price,Open,High,Low,Change %
278,278.0,278.0,278.0,10/20/1995,8.16,8.16,8.16,8.16,-1.21%
279,279.0,279.0,279.0,10/24/1995,8.17,8.17,8.17,8.17,0.12%
280,280.0,280.0,280.0,10/25/1995,8.16,8.16,8.16,8.16,-0.12%
281,281.0,281.0,281.0,10/26/1995,8.18,8.18,8.18,8.18,0.25%
282,282.0,282.0,282.0,10/27/1995,8.14,8.14,8.14,8.14,-0.49%
283,283.0,283.0,283.0,10/30/1995,8.11,8.11,8.11,8.11,-0.37%
284,284.0,284.0,284.0,10/31/1995,8.14,8.14,8.14,8.14,0.37%
285,285.0,285.0,285.0,11/1/1995,8.21,8.21,8.21,8.21,0.86%
286,286.0,286.0,286.0,11/2/1995,8.16,8.16,8.16,8.16,-0.61%
287,287.0,287.0,287.0,11/3/1995,8.15,8.15,8.15,8.15,-0.12%
288,288.0,288.0,288.0,11/7/1995,8.13,8.13,8.13,8.13,-0.25%
289,289.0,289.0,289.0,11/8/1995,8.14,8.14,8.14,8.14,0.12%
290,290.0,290.0,290.0,11/9/1995,8.12,8.12,8.12,8.12,-0.25%
291,291.0,291.0,291.0,11/10/1995,8.15,8.15,8.15,8.15,0.37%
292,292.0,292.0,292.0,11/13/1995,8.16,8.16,8.16,8.16,0.12%
293,293.0,293.0,293.0,11/14/1995,8.16,8.16,8.16,8.16,0.00%
294,294.0,294.0,294.0,11/15/1995,8.14,8.14,8.14,8.14,-0.25%
295,295.0,295.0,295.0,11/17/1995,8.12,8.12,8.12,8.12,-0.25%
296,296.0,296.0,296.0,11/20/1995,8.17,8.17,8.17,8.17,0.62%
297,297.0,297.0,297.0,11/21/1995,8.2,8.2,8.2,8.2,0.37%
298,298.0,298.0,298.0,11/22/1995,8.26,8.26,8.26,8.26,0.73%
299,299.0,299.0,299.0,11/23/1995,8.29,8.29,8.29,8.29,0.36%
300,300.0,300.0,300.0,11/24/1995,8.27,8.27,8.27,8.27,-0.24%
301,301.0,301.0,301.0,11/27/1995,8.29,8.29,8.29,8.29,0.24%
302,302.0,302.0,302.0,11/28/1995,8.26,8.26,8.26,8.26,-0.36%
303,303.0,303.0,303.0,11/29/1995,8.21,8.21,8.21,8.21,-0.61%
304,304.0,304.0,304.0,11/30/1995,8.2,8.2,8.2,8.2,-0.12%
305,305.0,305.0,305.0,12/1/1995,8.14,8.14,8.14,8.14,-0.73%
306,306.0,306.0,306.0,12/4/1995,8.17,8.17,8.17,8.17,0.37%
307,307.0,307.0,307.0,12/5/1995,8.21,8.21,8.21,8.21,0.49%
308,308.0,308.0,308.0,12/6/1995,8.22,8.22,8.22,8.22,0.12%
309,309.0,309.0,309.0,12/8/1995,8.22,8.22,8.22,8.22,0.00%
310,310.0,310.0,310.0,12/12/1995,8.29,8.29,8.29,8.29,0.85%
311,311.0,311.0,311.0,12/13/1995,8.37,8.37,8.37,8.37,0.97%
312,312.0,312.0,312.0,12/14/1995,8.62,8.62,8.62,8.62,2.99%
313,313.0,313.0,313.0,12/15/1995,8.7,8.7,8.7,8.7,0.93%
314,314.0,314.0,314.0,12/18/1995,8.7,8.7,8.7,8.7,0.00%
315,315.0,315.0,315.0,12/19/1995,8.75,8.75,8.75,8.75,0.57%
316,316.0,316.0,316.0,12/20/1995,8.67,8.67,8.67,8.67,-0.91%
317,317.0,317.0,317.0,12/21/1995,8.7,8.7,8.7,8.7,0.35%
318,318.0,318.0,318.0,12/27/1995,8.75,8.75,8.75,8.75,0.57%
319,319.0,319.0,319.0,12/28/1995,8.73,8.73,8.73,8.73,-0.23%
320,320.0,320.0,320.0,12/29/1995,8.69,8.69,8.69,8.69,-0.46%
321,321.0,321.0,321.0,1/2/1996,8.65,8.65,8.65,8.65,-0.46%
322,322.0,322.0,322.0,1/3/1996,8.65,8.65,8.65,8.65,0.00%
323,323.0,323.0,323.0,1/4/1996,8.57,8.57,8.57,8.57,-0.92%
