,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Price,Open,High,Low,Change %,0,1,2,3,4,5,6,0.1,1.1,2.1,3.1,4.1,5.1,6.1,0.2,1.2,2.2,3.2,4.2,5.2,6.2,0,1,2,3,4,5,6
106,106.0,106.0,106.0,106.0,6/5/1990,14.7,14.7,14.7,14.7,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,107.0,107.0,107.0,107.0,6/6/1990,14.66,14.66,14.66,14.66,-0.27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,108.0,108.0,108.0,108.0,6/7/1990,14.63,14.63,14.63,14.63,-0.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,109.0,109.0,109.0,109.0,6/8/1990,14.65,14.65,14.65,14.65,0.14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,110.0,110.0,110.0,110.0,6/11/1990,14.62,14.62,14.62,14.62,-0.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,111.0,111.0,111.0,111.0,6/12/1990,14.57,14.57,14.57,14.57,-0.34%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,112.0,112.0,112.0,112.0,6/13/1990,14.54,14.54,14.54,14.54,-0.21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,113.0,113.0,113.0,113.0,6/14/1990,14.62,14.62,14.62,14.62,0.55%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,114.0,114.0,114.0,114.0,6/15/1990,14.59,14.59,14.59,14.59,-0.21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,115.0,115.0,115.0,115.0,6/18/1990,14.54,14.54,14.54,14.54,-0.34%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,116.0,116.0,116.0,116.0,6/19/1990,14.57,14.57,14.57,14.57,0.21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,117.0,117.0,117.0,117.0,6/20/1990,14.6,14.6,14.6,14.6,0.21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,118.0,118.0,118.0,118.0,6/21/1990,14.6,14.6,14.6,14.6,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,119.0,119.0,119.0,119.0,6/22/1990,14.6,14.6,14.6,14.6,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,120.0,120.0,120.0,120.0,6/25/1990,14.6,14.6,14.6,14.6,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,121.0,121.0,121.0,121.0,6/26/1990,14.6,14.6,14.6,14.6,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,122.0,122.0,122.0,122.0,6/27/1990,14.59,14.59,14.59,14.59,-0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,123.0,123.0,123.0,123.0,6/28/1990,14.62,14.62,14.62,14.62,0.21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,124.0,124.0,124.0,124.0,6/29/1990,14.65,14.65,14.65,14.65,0.21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,125.0,125.0,125.0,125.0,7/2/1990,14.6,14.6,14.6,14.6,-0.34%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,126.0,126.0,126.0,126.0,7/3/1990,14.62,14.62,14.62,14.62,0.14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,127.0,127.0,127.0,127.0,7/4/1990,14.62,14.62,14.62,14.62,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,128.0,128.0,128.0,128.0,7/5/1990,14.64,14.64,14.64,14.64,0.14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
